date,t1id,t1ss,t1s,t1h1s,t1h2s,t1ots,t2id,t2ss,t2s,t2h1s,t2h2s,t2ots,mid,days,map,p1,p2,rw,co1,co2,corw,rad,radstd
3/16,5974,CT,9,6,3,0,6290,T,16,9,7,0,2301398,1307,2,124,517,0.36,,,,-0.24,-0.225
3/16,6686,CT,22,12,3,7,6137,T,19,3,12,4,2301504,1307,7,58,65,0.537,,,,0.209,0.027
3/16,6686,CT,16,13,3,0,6137,T,5,2,3,0,2301504,1307,4,58,65,0.762,,,,0.209,0.027
3/16,5991,T,11,3,8,0,4608,CT,16,12,4,0,2301380,1307,8,339,667,0.40700000000000003,"[2301166, 2301160, 2301109, 2301108, 2301171, 2301164, 2301105, 2301104]","[2301106, 2301107, 2301456, 2301183, 2301445, 2301438]",-0.062,-0.236,-0.019
3/16,6686,CT,16,11,5,0,5929,T,8,4,4,0,2301489,1307,2,58,43,0.667,,,,-0.312,0.062
3/16,6686,CT,16,13,3,0,5929,T,11,2,9,0,2301489,1307,8,58,43,0.593,,,,-0.312,0.062
3/16,6301,T,11,7,4,0,6736,CT,16,8,8,0,2301401,1307,1,45,47,0.40700000000000003,,,,0.044,0.102
3/16,5974,CT,5,5,0,0,5973,T,16,10,6,0,2301404,1306,2,124,86,0.23800000000000002,,,,-0.368,-0.004
3/16,6137,T,8,6,2,0,5988,CT,16,9,7,0,2301515,1306,1,65,93,0.33299999999999996,"[2301252, 2301320, 2301362, 2301363, 2301370, 2301371]","[2301344, 2301503, 2301116, 2301117, 2301378, 2301379]",-0.032,-0.415,-0.103
3/16,6137,CT,12,10,2,0,5988,T,16,5,11,0,2301515,1306,2,65,93,0.429,"[2301252, 2301320, 2301362, 2301363, 2301370, 2301371]","[2301344, 2301503, 2301116, 2301117, 2301378, 2301379]",-0.032,-0.415,-0.103
3/16,6290,T,16,7,9,0,6301,CT,11,8,3,0,2301406,1306,8,517,45,0.593,,,,0.379,-0.179
3/16,6301,CT,8,6,2,0,6290,T,16,9,7,0,2301407,1306,4,45,517,0.33299999999999996,,,,-0.379,0.179
3/16,5752,CT,17,3,12,2,5973,T,19,12,3,4,2301467,1306,3,139,86,0.47200000000000003,"[2301087, 2301391, 2301390, 2301125, 2301124, 2301463]","[2301392, 2301393, 2301221]",0.009000000000000001,-0.134,0.299
3/16,5752,T,16,10,6,0,5973,CT,7,5,2,0,2301467,1306,8,139,86,0.696,"[2301087, 2301391, 2301390, 2301125, 2301124, 2301463]","[2301392, 2301393, 2301221]",0.009000000000000001,-0.134,0.299
3/16,5752,T,16,10,6,0,5973,CT,5,5,0,0,2301467,1306,1,139,86,0.762,"[2301087, 2301391, 2301390, 2301125, 2301124, 2301463]","[2301392, 2301393, 2301221]",0.009000000000000001,-0.134,0.299
3/16,5973,CT,22,8,7,7,5974,T,19,7,8,4,2301405,1306,5,86,124,0.537,,,,0.368,0.004
3/16,5988,T,13,7,6,0,6137,CT,16,8,8,0,2301520,1305,8,93,65,0.44799999999999995,"[2301116, 2301117, 2301344, 2301503, 2301378, 2301379]","[2301362, 2301363, 2301252, 2301320, 2301370, 2301371]",0.032,0.44,0.108
3/16,4494,CT,16,4,11,1,5422,T,19,11,4,4,2301521,1305,2,183,223,0.457,"[2301159, 2301119, 2301118, 2301152, 2301096, 2301095, 2301346]","[2301374, 2301375, 2301361, 2301360, 2301382, 2301383, 2301365, 2301364]",0.042,0.348,-0.024
3/16,6685,T,16,9,7,0,5310,CT,13,6,7,0,2301549,1305,7,47,92,0.552,,,,0.253,-0.058
3/16,6685,T,5,3,2,0,5310,CT,16,12,4,0,2301549,1305,2,47,92,0.23800000000000002,,,,0.253,-0.058
3/16,6685,T,9,1,8,0,5310,CT,16,14,2,0,2301549,1305,4,47,92,0.36,,,,0.253,-0.058
